index,id,lat,lon
0,U3RvcDoxOjAwMDMwMDE3ODAwMw,52.391152,13.512816
1,U3RvcDoxOjAwMDMwMDYzMDAwNw,52.605032,13.611122
2,U3RvcDoxOmRlOjExMDAwOjkwMDAwMTIwMToxOjUw,52.536218,13.344329
3,U3RvcDoxOmRlOjExMDAwOjkwMDAwMTIwMToxOjUx,52.536318,13.344298
4,U3RvcDoxOmRlOjExMDAwOjkwMDAwMTIwMTo6MQ,52.536766,13.342507
5,U3RvcDoxOmRlOjExMDAwOjkwMDAwMTIwMTo6Mg,52.536744,13.342635
6,U3RvcDoxOmRlOjExMDAwOjkwMDAwMjIwMTo6MQ,52.532192,13.341235
7,U3RvcDoxOmRlOjExMDAwOjkwMDAwMjIwMTo6Mg,52.532191,13.341410
8,U3RvcDoxOmRlOjExMDAwOjkwMDAwMzEwMTo6MQ,52.517873,13.341988
9,U3RvcDoxOmRlOjExMDAwOjkwMDAwMzEwMTo6Mg,52.517882,13.342161
10,U3RvcDoxOmRlOjExMDAwOjkwMDAwMzEwMjoxOjUw,52.519946,13.348090
11,U3RvcDoxOmRlOjExMDAwOjkwMDAwMzEwMjoxOjUx,52.520012,13.348101
12,U3RvcDoxOmRlOjExMDAwOjkwMDAwMzEwMzoxOjUw,52.514419,13.336536
13,U3RvcDoxOmRlOjExMDAwOjkwMDAwMzEwMzoxOjUx,52.514440,13.336420
14,U3RvcDoxOmRlOjExMDAwOjkwMDAwMzEwNDo6MQ,52.526136,13.341178
15,U3RvcDoxOmRlOjExMDAwOjkwMDAwMzEwNDo6Mg,52.526128,13.341406
16,U3RvcDoxOmRlOjExMDAwOjkwMDAwMzIwMDoxOjUw,52.524959,13.368911
17,U3RvcDoxOmRlOjExMDAwOjkwMDAwMzIwMDoxOjUx,52.524999,13.369061
18,U3RvcDoxOmRlOjExMDAwOjkwMDAwMzIwMDoyOjUy,52.525060,13.369167
19,U3RvcDoxOmRlOjExMDAwOjkwMDAwMzIwMDoyOjUz,52.525096,13.369321
20,U3RvcDoxOmRlOjExMDAwOjkwMDAwMzIwMDozOjU0,52.525109,13.369472
21,U3RvcDoxOmRlOjExMDAwOjkwMDAwMzIwMDozOjU1,52.525142,13.369612
